Year,Projection,Mean,10-90th Percentile Range (low),10-90th Percentile Range (high)
2032,SSP5-8.5,21.88,20.95,22.66
2033,SSP5-8.5,21.93,20.97,22.72
2034,SSP5-8.5,21.97,20.99,22.79
2035,SSP5-8.5,22.01,21,22.86
2036,SSP5-8.5,22.05,21.02,22.94
2037,SSP5-8.5,22.09,21.05,23.01
2038,SSP5-8.5,22.14,21.1,23.09
2039,SSP5-8.5,22.18,21.15,23.17
2040,SSP5-8.5,22.24,21.22,23.24
2041,SSP5-8.5,22.31,21.29,23.32
2042,SSP5-8.5,22.39,21.38,23.41
2043,SSP5-8.5,22.48,21.48,23.49
2044,SSP5-8.5,22.59,21.58,23.57
2045,SSP5-8.5,22.69,21.68,23.66
2046,SSP5-8.5,22.78,21.77,23.74
2047,SSP5-8.5,22.85,21.84,23.81
2048,SSP5-8.5,22.91,21.9,23.89
2049,SSP5-8.5,22.95,21.94,23.96
2050,SSP5-8.5,22.98,21.97,24.03
2051,SSP5-8.5,23.02,22,24.11
2052,SSP5-8.5,23.08,22.03,24.18
2053,SSP5-8.5,23.15,22.07,24.27
2054,SSP5-8.5,23.23,22.12,24.35
2055,SSP5-8.5,23.32,22.17,24.44
2056,SSP5-8.5,23.42,22.24,24.52
2057,SSP5-8.5,23.51,22.3,24.59
2058,SSP5-8.5,23.58,22.38,24.65
2059,SSP5-8.5,23.64,22.45,24.69
2060,SSP5-8.5,23.69,22.53,24.73
2061,SSP5-8.5,23.74,22.6,24.77
2062,SSP5-8.5,23.78,22.66,24.82
2063,SSP5-8.5,23.83,22.71,24.88
2064,SSP5-8.5,23.88,22.75,24.97
2065,SSP5-8.5,23.94,22.78,25.07
2066,SSP5-8.5,24.01,22.82,25.17
2067,SSP5-8.5,24.08,22.86,25.29
2068,SSP5-8.5,24.15,22.92,25.4
2069,SSP5-8.5,24.23,23,25.5
2070,SSP5-8.5,24.31,23.09,25.6
2071,SSP5-8.5,24.4,23.19,25.7
2072,SSP5-8.5,24.48,23.29,25.8
2073,SSP5-8.5,24.57,23.37,25.9
2074,SSP5-8.5,24.65,23.44,26.01
2075,SSP5-8.5,24.73,23.48,26.13
2076,SSP5-8.5,24.8,23.51,26.25
2077,SSP5-8.5,24.87,23.54,26.36
2078,SSP5-8.5,24.94,23.58,26.46
2079,SSP5-8.5,25.01,23.63,26.55
2080,SSP5-8.5,25.07,23.7,26.61
2081,SSP5-8.5,25.13,23.79,26.67
2082,SSP5-8.5,25.2,23.88,26.73
2083,SSP5-8.5,25.27,23.99,26.81
2084,SSP5-8.5,25.34,24.09,26.91
2085,SSP5-8.5,25.43,24.19,27.04
2086,SSP5-8.5,25.52,24.28,27.2
2087,SSP5-8.5,25.62,24.36,27.37
2088,SSP5-8.5,25.72,24.43,27.55
2089,SSP5-8.5,25.81,24.48,27.72
2090,SSP5-8.5,25.91,24.51,27.87
2091,SSP5-8.5,26,24.53,28
2092,SSP5-8.5,26.08,24.54,28.11
2093,SSP5-8.5,26.17,24.55,28.21
2094,SSP5-8.5,26.26,24.58,28.29
2095,SSP5-8.5,26.35,24.63,28.38
2096,SSP5-8.5,26.45,24.7,28.45
2097,SSP5-8.5,26.55,24.79,28.53
2098,SSP5-8.5,26.65,24.9,28.6
2099,SSP5-8.5,26.76,25.02,28.68
2100,SSP5-8.5,26.86,25.15,28.75
